expenditure,income,maininc,region,nadults,nkids,SexHRP,housing,internet
380.6958,465.36,earnings,East Mid,2 adults,Two or m,Female,Public r,1
546.4134,855.26,earnings,London,2 adults,No child,Female,Owned,1
242.18900000000002,160.96,earnings,South Ea,1 adult,No child,Female,Owned,1
421.3824,656.22,earnings,Eastern,2 adults,No child,Male,Owned,1
370.4056,398.8,earnings,South Ea,1 adult,No child,Male,Owned,1
172.3972,321.02,earnings,Scotland,1 adult,No child,Male,Public r,0
202.425,350.834,other so,Northern,2 adults,No child,Male,Owned,1
730.658,1184.99,earnings,South Ea,4 and mo,No child,Female,Public r,1
361.931,619.57,earnings,Wales,2 adults,No child,Male,Owned,1
659.9117,1117.8419999999999,other so,Yorkshir,2 adults,No child,Male,Owned,1
338.7071,375.8,other so,West Mid,2 adults,Two or m,Male,Public r,1
238.2146,819.4675,earnings,Wales,1 adult,No child,Male,Owned,1
507.4931,687.9345,other so,Eastern,2 adults,No child,Male,Owned,1
92.62071,209.85,other so,Yorkshir,1 adult,No child,Male,Public r,1
593.8102,841.11,earnings,West Mid,3 adults,No child,Male,Owned,0
583.5377,534.7007,earnings,South We,2 adults,One chil,Female,Public r,1
371.217,510.28,earnings,Scotland,2 adults,One chil,Female,Public r,0
420.3177,701.6,earnings,West Mid,1 adult,No child,Male,Owned,1
252.03,332.465,other so,Eastern,1 adult,Two or m,Female,Private,1
675.0049,1184.99,earnings,South We,3 adults,No child,Male,Owned,1
675.4986,521.0419999999999,earnings,Eastern,2 adults,No child,Female,Owned,1
359.1158,104.85,other so,Eastern,2 adults,No child,Female,Public r,0
350.9018,585.67,earnings,South Ea,1 adult,No child,Female,Owned,1
1175.0,1184.99,earnings,West Mid,2 adults,One chil,Male,Owned,1
162.2021,169.942,other so,Scotland,1 adult,No child,Female,Public r,0
326.3126,523.08,other so,Eastern,2 adults,No child,Male,Public r,1
485.9161,604.92,earnings,East Mid,2 adults,One chil,Male,Owned,1
197.1251,348.18,earnings,Wales,1 adult,No child,Female,Owned,1
173.99,243.65200000000002,other so,East Mid,2 adults,No child,Male,Public r,0
560.4683,990.17,earnings,Yorkshir,2 adults,No child,Female,Owned,1
479.6968,1184.99,earnings,Scotland,2 adults,One chil,Male,Owned,1
299.1841,189.49200000000002,other so,Wales,1 adult,One chil,Female,Public r,1
435.305,467.51199999999994,other so,Eastern,1 adult,No child,Male,Private,1
305.9578,781.14,earnings,West Mid,2 adults,No child,Male,Owned,0
1105.502,750.6295,earnings,South Ea,2 adults,No child,Male,Owned,1
513.6083,1184.99,earnings,London,2 adults,No child,Male,Owned,1
302.1938,372.62,earnings,North We,3 adults,No child,Female,Owned,1
1175.0,1078.07,earnings,West Mid,2 adults,Two or m,Male,Owned,1
263.3745,160.132,other so,East Mid,1 adult,No child,Male,Owned,1
967.6439,1184.99,other so,Eastern,2 adults,No child,Male,Owned,1
972.9387,1184.99,earnings,South Ea,3 adults,One chil,Female,Owned,1
263.1242,250.3,other so,London,1 adult,One chil,Female,Private,1
511.0617,1184.99,earnings,Eastern,2 adults,No child,Male,Owned,1
828.8698,1184.99,other so,Yorkshir,2 adults,No child,Male,Owned,1
419.9354,621.19,other so,Eastern,2 adults,No child,Male,Owned,1
520.6301,972.67,earnings,North We,2 adults,No child,Male,Owned,1
578.4725,601.95,other so,Wales,2 adults,No child,Male,Owned,1
1175.0,1184.99,earnings,London,2 adults,No child,Male,Owned,1
1116.508,1184.99,earnings,London,2 adults,No child,Male,Private,1
99.17,148.042,other so,North Ea,1 adult,No child,Female,Public r,1
420.3159,665.77,earnings,South Ea,2 adults,Two or m,Male,Owned,1
186.29,253.88400000000001,other so,South Ea,2 adults,No child,Male,Private,0
437.7218,617.919,other so,West Mid,4 and mo,Two or m,Male,Owned,1
436.7829,629.135,earnings,Eastern,2 adults,No child,Male,Owned,1
134.4592,319.704,other so,Wales,2 adults,No child,Male,Owned,0
124.64,161.96,other so,South We,1 adult,No child,Female,Public r,0
254.8244,684.41,earnings,West Mid,4 and mo,One chil,Male,Owned,1
379.9749,1184.99,earnings,Yorkshir,3 adults,No child,Male,Private,0
272.9792,192.6045,other so,South Ea,1 adult,No child,Male,Public r,1
433.6201,473.814,other so,Scotland,2 adults,No child,Female,Owned,0
919.2189999999999,1043.4,earnings,North We,2 adults,Two or m,Female,Owned,1
660.1995,1184.99,earnings,Yorkshir,2 adults,Two or m,Male,Owned,1
321.1285,540.61,earnings,London,2 adults,Two or m,Male,Owned,1
847.8042,1184.99,earnings,London,2 adults,One chil,Male,Owned,1
407.5245,808.0239,earnings,South We,2 adults,Two or m,Male,Public r,1
250.7232,378.41,other so,South Ea,2 adults,No child,Male,Owned,1
348.7156,420.1,other so,North Ea,2 adults,Two or m,Female,Private,1
578.2015,519.23,earnings,Yorkshir,1 adult,No child,Male,Owned,1
1100.1960000000001,564.61,earnings,Scotland,2 adults,No child,Female,Owned,1
218.2282,399.26,earnings,Yorkshir,1 adult,Two or m,Female,Public r,1
719.8344,1184.99,earnings,South Ea,3 adults,No child,Male,Owned,1
574.604,570.9725,earnings,London,1 adult,One chil,Female,Private,1
93.1,260.492,other so,Yorkshir,1 adult,No child,Female,Owned,0
234.58,402.7015,other so,North We,2 adults,No child,Male,Owned,0
706.1187,50.0,earnings,West Mid,2 adults,No child,Female,Owned,1
314.8424,196.08,earnings,East Mid,1 adult,No child,Male,Owned,1
1175.0,1184.99,earnings,London,2 adults,No child,Male,Private,1
367.5503,829.46,earnings,North We,2 adults,One chil,Female,Private,1
428.0032,370.98,other so,Yorkshir,2 adults,No child,Female,Public r,1
542.8974,729.39,earnings,South We,1 adult,Two or m,Female,Owned,1
259.0337,373.2774,earnings,West Mid,1 adult,No child,Male,Private,1
455.6188,529.76,earnings,East Mid,2 adults,No child,Male,Owned,1
285.1071,377.89,other so,London,1 adult,Two or m,Female,Public r,1
522.4936,890.76,earnings,Wales,3 adults,No child,Male,Owned,1
234.4152,369.41,earnings,North We,1 adult,No child,Female,Owned,0
155.947,415.09,other so,East Mid,1 adult,No child,Male,Owned,1
426.2568,534.61,earnings,North We,2 adults,No child,Male,Owned,1
577.4839,1184.99,earnings,Scotland,2 adults,No child,Female,Owned,1
1137.775,649.1475,earnings,North We,2 adults,One chil,Male,Owned,1
581.5939,582.144,other so,South We,2 adults,No child,Male,Owned,1
64.41,101.35,other so,Wales,1 adult,No child,Female,Public r,0
646.0527,930.3,earnings,East Mid,2 adults,Two or m,Male,Owned,1
688.4852,1184.99,earnings,Eastern,3 adults,No child,Female,Owned,1
149.7902,222.812,other so,Eastern,1 adult,No child,Female,Owned,0
1175.0,1184.99,other so,London,2 adults,No child,Female,Owned,1
554.0817,1126.838,earnings,North We,2 adults,Two or m,Male,Owned,1
